VESSEL,VOYAGE,DATED,TO,STEAM,RPM,SPEED,STW,M/E HFO CONS.,M/E LSHFO CONS.,M/E MDO CONS.,M/E LSMDO CONS.,M/E MGO CONS.,M/E LSMGO CONS.,D/G HFO CONS.,D/G LSHFO CONS.,D/G MDO CONS.,D/G LSMDO CONS.,D/G MGO CONS.,D/G LSMGO CONS.,BOIL. HFO CONS.,BOIL. SHFO CONS.,BOIL. MDO CONS.,BOIL. LSMDO CONS.,BOIL. MGO CONS.,BOIL. LSMGO CONS.,WIND,SWELL,SLIP,CUR SPD,DRAFT FOR,DRAFT AFT,OBS DIST,OPERATION,CARGOCARRIED
BRAVERUS,201805L,12/31/2018,SINGAPORE PEGBC,24,69,10.37,11.38,35.3,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,5,2,17.41,1,16,16.36,249,,0
BRAVERUS,201805L,12/30/2018,SINGAPORE PEGBC,23,69.1,9.86,11.07,34.5,0,0,0,0,0,2.6,0,0,0,0,0,0,0,0,0,0,0,5,2.2,21.56,1.2,16,16.36,227,,0
BRAVERUS,201805L,12/29/2018,SINGAPORE PEGBC,24,70.1,10.2,11.21,35.8,0,0,0,0,0,2.4,0,0,0,0,0,0,0,0,0,0,0,6,2,20.03,1,16,16.36,245,,0
BRAVERUS,201805L,12/28/2018,SINGAPORE PEGBC,23,70,11.08,11.49,35.3,0,0,0,0,0,2.6,0,0,0,0,0,0,0,0,0,0,0,5,1.5,13.02,0.4,16,16.36,255,,0
BRAVERUS,201805L,12/27/2018,SINGAPORE PEGBC,23.83,69.8,10.74,11.49,35.5,0,0,0,0,0,2.6,0,0,0,0,0,0,0,0,0,0,0,5,1.5,14.29,0.6,16,16.36,256,,0
BRAVERUS,201805L,12/26/2018,SINGAPORE PEGBC,24,70.1,11.29,11.6,35.4,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,4,1.5,11.55,0.3,16,16.36,271,,0
BRAVERUS,201805L,12/25/2018,SINGAPORE PEGBC,23,69.2,11,11.5,35.3,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,5,1.5,13.85,0.5,16,16.36,253,,0
BRAVERUS,201805L,12/24/2018,SINGAPORE PEGBC,24,69.9,11,11.5,35.7,0,0,0,0,0,2.4,0,0,0,0,0,0,0,0,0,0,0,5,1.5,13.64,0.5,16,16.36,264,,0
BRAVERUS,201805L,12/23/2018,SINGAPORE PEGBC,24,70.3,11.2,11.51,35.6,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,4,1.5,12.4,0.3,15.99,16.41,269,,0
BRAVERUS,201805L,12/22/2018,SINGAPORE PEGBC,24,69.9,10.7,11.21,35.3,0,0,0,0,0,2.4,0,0,0,0,0,0,0,0,0,0,0,5,1.5,15.9,0.5,15.99,16.41,257,,0
